"","spgrp","treatment","trialid","y","nevents","natrisk","y.max","start","time","treatnumf"
"1",1,"3 weekly",1,231.838693667,8,42,6,0,6,1
"2",1,"3 weekly",2,336.122807018,4,59,6,0,6,1
"3",1,"3 weekly",3,420.935382195909,17,78,6,0,6,1
"4",1,"3 weekly",4,244.641453722843,4,42,6,0,6,1
"5",1,"Weekly",1,220.723738029,7,41,6,0,6,2
"6",1,"Weekly",2,322.740740741,9,59,6,0,6,2
"7",1,"Weekly",3,414.052606900121,29,81,6,0,6,2
"8",1,"Weekly",4,241.897390317283,6,43,6,0,6,2
"9",2,"3 weekly",1,183.739959815,7,34,6,6,12,1
"10",2,"3 weekly",2,268.3547758245,12,52,6,6,12,1
"11",2,"3 weekly",3,267.529202755156,25,61,6,6,12,1
"12",2,"3 weekly",4,204.363034845695,6,38,6,6,12,1
"13",2,"Weekly",1,178.020235477,8,34,6,6,12,2
"14",2,"Weekly",2,248.5501949305,8,47,6,6,12,2
"15",2,"Weekly",3,205.983086209682,22,48,6,6,12,2
"16",2,"Weekly",4,181.403599746455,9,37,6,6,12,2
"17",3,"3 weekly",1,150.03123613,4,27,6,12,18,1
"18",3,"3 weekly",2,198.975633535,9,37,6,12,18,1
"19",3,"3 weekly",3,168.772589367761,11,35,6,12,18,1
"20",3,"3 weekly",4,178.492615368481,4,32,6,12,18,1
"21",3,"Weekly",1,156,0,26,6,12,18,2
"22",3,"Weekly",2,182.79044834,8,36,6,12,18,2
"23",3,"Weekly",3,100.06057074467,10,23,6,12,18,2
"24",3,"Weekly",4,156.688946505321,3,28,6,12,18,2
"25",4,"3 weekly",1,292.74834034,13,23,23.18360831,18,41.18360831,1
"26",4,"3 weekly",2,319.95077973,11,26,31.31773879,18,49.31773879,1
"27",4,"3 weekly",3,201.443750095192,17,21,22.5342802879079,18,40.5342802879079,1
"28",4,"3 weekly",4,387.193640089464,22,28,19.4147100257852,18,37.4147100257852,1
"29",4,"Weekly",1,451.52574302,10,26,22.46152635,18,40.46152635,2
"30",4,"Weekly",2,204.45906434,14,25,19.5,18,37.5,2
"31",4,"Weekly",3,99.1808188921684,11,12,16.8260928200714,18,34.8260928200714,2
"32",4,"Weekly",4,497.686996061698,16,25,28.268572693855,18,46.268572693855,2
